Program "PAW_protein_grouper.py" run on Fri May  8 06:42:05 2020


	=SUBTOTAL(109,B6:B9936)															
384	1	sp|O00425|IF2B3_HUMAN	 	 	sp|O00425|IF2B3_HUMAN, sp|Q9NZI8|IF2B1_HUMAN, sp|Q9Y6M1|IF2B2_HUMAN	 	9.8	579	63704	Insulin-like growth factor 2 mRNA-binding protein 3 OS=Homo sapiens (Human) OX=9606 GN=IGF2BP3 PE=1 SV=2	17	12	0.706	17	12	15.529
385	1	sp|O00429|DNM1L_HUMAN	 	 	 	 	52.2	736	81876	Dynamin-1-like protein OS=Homo sapiens (Human) OX=9606 GN=DNM1L PE=1 SV=2	74	74	1.000	74	74	74.000
386	1	sp|O00442|RTCA_HUMAN	 	 	 	 	22.7	366	39336	RNA 3'-terminal phosphate cyclase OS=Homo sapiens (Human) OX=9606 GN=RTCA PE=1 SV=1	8	8	1.000	8	8	8.000
387	1	sp|O00443|P3C2A_HUMAN	 	 	REV_P12081, sp|O00443|P3C2A_HUMAN, sp|Q96EV2|RBM33_HUMAN, sp|Q96ST2|IWS1_HUMAN	 	11.8	1686	190677	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha OS=Homo sapiens (Human) OX=9606 GN=PIK3C2A PE=1 SV=2	33	30	0.909	33	30	31.552
388	1	sp|O00458|IFRD1_HUMAN	 	 	 	 	6.9	451	50268	Interferon-related developmental regulator 1 OS=Homo sapiens (Human) OX=9606 GN=IFRD1 PE=1 SV=4	4	4	1.000	4	4	4.000
389	1	sp|O00459|P85B_HUMAN	 	 	sp|O00459|P85B_HUMAN, sp|P27986|P85A_HUMAN, sp|Q92569|P55G_HUMAN	 	24.2	728	81544	Phosphatidylinositol 3-kinase regulatory subunit beta OS=Homo sapiens (Human) OX=9606 GN=PIK3R2 PE=1 SV=2	22	16	0.727	22	16	17.906
390	1	sp|O00461|GOLI4_HUMAN	 	 	 	 	9.1	696	81879	Golgi integral membrane protein 4 OS=Homo sapiens (Human) OX=9606 GN=GOLIM4 PE=1 SV=1	10	10	1.000	10	10	10.000
391	1	sp|O00462|MANBA_HUMAN	 	 	sp|O00462|MANBA_HUMAN, sp|Q9NQW7|XPP1_HUMAN	 	18.2	879	100894	Beta-mannosidase OS=Homo sapiens (Human) OX=9606 GN=MANBA PE=1 SV=3	24	21	0.875	24	21	21.733
392	1	sp|O00463|TRAF5_HUMAN	 	 	 	 	7.9	557	64405	TNF receptor-associated factor 5 OS=Homo sapiens (Human) OX=9606 GN=TRAF5 PE=1 SV=2	5	5	1.000	5	5	5.000
393	1	sp|O00468|AGRIN_HUMAN	 	 	 	 	5.3	2068	217318	Agrin OS=Homo sapiens (Human) OX=9606 GN=AGRN PE=1 SV=6	10	10	1.000	10	10	10.000
394	1	sp|O00469|PLOD2_HUMAN	 	 	 	 	26.9	737	84685	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 OS=Homo sapiens (Human) OX=9606 GN=PLOD2 PE=1 SV=2	31	31	1.000	31	31	31.000
395	1	sp|O00471|EXOC5_HUMAN	 	 	 	 	30.5	708	81852	Exocyst complex component 5 OS=Homo sapiens (Human) OX=9606 GN=EXOC5 PE=1 SV=1	39	39	1.000	39	39	39.000
396	1	sp|O00478|BT3A3_HUMAN	 	 	 	 	3.4	584	65001	Butyrophilin subfamily 3 member A3 OS=Homo sapiens (Human) OX=9606 GN=BTN3A3 PE=1 SV=1	2	2	1.000	2	2	2.000
397	1	sp|O00479|HMGN4_HUMAN	 	 	sp|O00479|HMGN4_HUMAN, sp|P05204|HMGN2_HUMAN	 	31.1	90	9539	High mobility group nucleosome-binding domain-containing protein 4 OS=Homo sapiens (Human) OX=9606 GN=HMGN4 PE=1 SV=3	6	3	0.500	6	3	3.600
398	1	sp|O00483|NDUA4_HUMAN	 	 	 	 	55.6	81	9370	Cytochrome c oxidase subunit NDUFA4 OS=Homo sapiens (Human) OX=9606 GN=NDUFA4 PE=1 SV=1	37	37	1.000	37	37	37.000
399	1	sp|O00487|PSDE_HUMAN	 	 	 	 	31.0	310	34577	26S proteasome non-ATPase regulatory subunit 14 OS=Homo sapiens (Human) OX=9606 GN=PSMD14 PE=1 SV=1	57	57	1.000	57	57	57.000
400	1	sp|O00488|ZN593_HUMAN	 	 	 	 	13.4	134	15199	Zinc finger protein 593 OS=Homo sapiens (Human) OX=9606 GN=ZNF593 PE=1 SV=2	2	2	1.000	2	2	2.000
401	1	sp|O00499|BIN1_HUMAN	 	 	 	 	7.4	593	64699	Myc box-dependent-interacting protein 1 OS=Homo sapiens (Human) OX=9606 GN=BIN1 PE=1 SV=1	5	5	1.000	5	5	5.000
402	1	sp|O00505|IMA4_HUMAN	 	 	sp|O00505|IMA4_HUMAN, sp|O00629|IMA3_HUMAN	 	22.5	521	57810	Importin subunit alpha-4 OS=Homo sapiens (Human) OX=9606 GN=KPNA3 PE=1 SV=2	21	8	0.381	21	8	12.727
403	1	sp|O00506|STK25_HUMAN	 	 	sp|O00506|STK25_HUMAN, sp|Q9P289|STK26_HUMAN, sp|Q9Y6E0|STK24_HUMAN	 	28.4	426	48111	Serine/threonine-protein kinase 25 OS=Homo sapiens (Human) OX=9606 GN=STK25 PE=1 SV=1	30	8	0.267	30	8	13.172
404	1	sp|O00512|BCL9_HUMAN	 	 	sp|O00512|BCL9_HUMAN, sp|Q86UU0|BCL9L_HUMAN	 	1.6	1426	149289	B-cell CLL/lymphoma 9 protein OS=Homo sapiens (Human) OX=9606 GN=BCL9 PE=1 SV=4	2	1	0.500	2	1	1.200
405	1	sp|O00519|FAAH1_HUMAN	 	 	 	 	27.1	579	63065	Fatty-acid amide hydrolase 1 OS=Homo sapiens (Human) OX=9606 GN=FAAH PE=1 SV=2	22	22	1.000	22	22	22.000
406	1	sp|O00522|KRIT1_HUMAN	 	 	 	 	15.2	736	84347	Krev interaction trapped protein 1 OS=Homo sapiens (Human) OX=9606 GN=KRIT1 PE=1 SV=2	13	13	1.000	13	13	13.000
407	1	sp|O00541|PESC_HUMAN	 	 	 	 	27.0	588	68002	Pescadillo homolog OS=Homo sapiens (Human) OX=9606 GN=PES1 PE=1 SV=1	54	54	1.000	54	54	54.000
408	1	sp|O00560|SDCB1_HUMAN	 	 	 	 	22.8	298	32444	Syntenin-1 OS=Homo sapiens (Human) OX=9606 GN=SDCBP PE=1 SV=1	15	15	1.000	15	15	15.000
409	1	sp|O00562|PITM1_HUMAN	 	 	 	 	5.9	1244	134846	Membrane-associated phosphatidylinositol transfer protein 1 OS=Homo sapiens (Human) OX=9606 GN=PITPNM1 PE=1 SV=4	6	6	1.000	6	6	6.000
410	1	sp|O00566|MPP10_HUMAN	 	 	 	 	11.2	681	78863	U3 small nucleolar ribonucleoprotein protein MPP10 OS=Homo sapiens (Human) OX=9606 GN=MPHOSPH10 PE=1 SV=2	12	12	1.000	12	12	12.000
411	1	sp|O00567|NOP56_HUMAN	 	 	 	 	59.4	594	66049	Nucleolar protein 56 OS=Homo sapiens (Human) OX=9606 GN=NOP56 PE=1 SV=4	95	95	1.000	95	95	95.000
412	1	sp|O00571|DDX3X_HUMAN	 	 	sp|O00571|DDX3X_HUMAN, sp|P17844|DDX5_HUMAN, sp|Q92841|DDX17_HUMAN	 	55.9	662	73243	ATP-dependent RNA helicase DDX3X OS=Homo sapiens (Human) OX=9606 GN=DDX3X PE=1 SV=3	176	165	0.938	176	165	168.920
413	1	sp|O00584|RNT2_HUMAN	 	 	 	 	30.1	256	29480	Ribonuclease T2 OS=Homo sapiens (Human) OX=9606 GN=RNASET2 PE=1 SV=2	14	14	1.000	14	14	14.000
414	1	sp|O00592|PODXL_HUMAN	 	 	 	 	5.2	558	58635	Podocalyxin OS=Homo sapiens (Human) OX=9606 GN=PODXL PE=1 SV=2	4	4	1.000	4	4	4.000
415	1	sp|O00623|PEX12_HUMAN	 	 	 	 	20.1	359	40797	Peroxisome assembly protein 12 OS=Homo sapiens (Human) OX=9606 GN=PEX12 PE=1 SV=1	4	4	1.000	4	4	4.000
416	1	sp|O00625|PIR_HUMAN	 	 	 	 	33.4	290	32113	Pirin OS=Homo sapiens (Human) OX=9606 GN=PIR PE=1 SV=1	25	25	1.000	25	25	25.000
417	1	sp|O00628|PEX7_HUMAN	 	 	 	 	14.2	323	35891	Peroxisomal targeting signal 2 receptor OS=Homo sapiens (Human) OX=9606 GN=PEX7 PE=1 SV=1	8	8	1.000	8	8	8.000
418	1	sp|O00629|IMA3_HUMAN	 	 	sp|O00505|IMA4_HUMAN, sp|O00629|IMA3_HUMAN	 	26.7	521	57886	Importin subunit alpha-3 OS=Homo sapiens (Human) OX=9606 GN=KPNA4 PE=1 SV=1	27	14	0.519	27	14	22.273
419	1	sp|O00635|TRI38_HUMAN	 	 	 	 	4.3	465	53415	E3 ubiquitin-protein ligase TRIM38 OS=Homo sapiens (Human) OX=9606 GN=TRIM38 PE=1 SV=1	2	2	1.000	2	2	2.000
420	1	sp|O00712|NFIB_HUMAN	 	 	 	 	6.2	420	47441	Nuclear factor 1 B-type OS=Homo sapiens (Human) OX=9606 GN=NFIB PE=1 SV=2	3	3	1.000	3	3	3.000
421	1	sp|O00716|E2F3_HUMAN	 	 	 	 	5.8	465	49161	Transcription factor E2F3 OS=Homo sapiens (Human) OX=9606 GN=E2F3 PE=1 SV=1	2	2	1.000	2	2	2.000
422	1	sp|O00743|PPP6_HUMAN	 	 	 	 	33.8	305	35144	Serine/threonine-protein phosphatase 6 catalytic subunit OS=Homo sapiens (Human) OX=9606 GN=PPP6C PE=1 SV=1	31	31	1.000	31	31	31.000
423	1	sp|O00748|EST2_HUMAN	 	 	 	 	3.9	559	61806	Cocaine esterase OS=Homo sapiens (Human) OX=9606 GN=CES2 PE=1 SV=1	2	2	1.000	2	2	2.000
424	1	sp|O00750|P3C2B_HUMAN	 	 	 	 	6.1	1634	184766	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta OS=Homo sapiens (Human) OX=9606 GN=PIK3C2B PE=1 SV=2	8	8	1.000	8	8	8.000
425	1	sp|O00754|MA2B1_HUMAN	 	 	 	 	16.5	1011	113743	Lysosomal alpha-mannosidase OS=Homo sapiens (Human) OX=9606 GN=MAN2B1 PE=1 SV=3	25	25	1.000	25	25	25.000
426	1	sp|O00757|F16P2_HUMAN	 	 	sp|O00757|F16P2_HUMAN, sp|P09467|F16P1_HUMAN	 	6.2	339	36743	Fructose-1,6-bisphosphatase isozyme 2 OS=Homo sapiens (Human) OX=9606 GN=FBP2 PE=1 SV=2	34	30	0.882	34	30	30.723
427	1	sp|O00762|UBE2C_HUMAN	 	 	 	 	36.3	179	19652	Ubiquitin-conjugating enzyme E2 C OS=Homo sapiens (Human) OX=9606 GN=UBE2C PE=1 SV=1	18	18	1.000	18	18	18.000
429	1	sp|O00764|PDXK_HUMAN	 	 	 	 	45.8	312	35102	Pyridoxal kinase OS=Homo sapiens (Human) OX=9606 GN=PDXK PE=1 SV=1	35	35	1.000	35	35	35.000
430	1	sp|O00767|ACOD_HUMAN	 	 	 	 	14.2	359	41522	Acyl-CoA desaturase OS=Homo sapiens (Human) OX=9606 GN=SCD PE=1 SV=2	14	14	1.000	14	14	14.000
431	1	sp|O14497|ARI1A_HUMAN	 	 	sp|O14497|ARI1A_HUMAN, sp|Q8NFD5|ARI1B_HUMAN	 	11.9	2285	242042	AT-rich interactive domain-containing protein 1A OS=Homo sapiens (Human) OX=9606 GN=ARID1A PE=1 SV=3	48	45	0.938	48	45	47.250
432	1	sp|O14519|CDKA1_HUMAN	 	 	 	 	27.0	115	12365	Cyclin-dependent kinase 2-associated protein 1 OS=Homo sapiens (Human) OX=9606 GN=CDK2AP1 PE=1 SV=1	5	5	1.000	5	5	5.000
433	1	sp|O14524|NEMP1_HUMAN	 	 	 	 	7.4	444	50639	Nuclear envelope integral membrane protein 1 OS=Homo sapiens (Human) OX=9606 GN=NEMP1 PE=1 SV=2	6	6	1.000	6	6	6.000
434	1	sp|O14526|FCHO1_HUMAN	 	 	 	 	3.0	889	96860	F-BAR domain only protein 1 OS=Homo sapiens (Human) OX=9606 GN=FCHO1 PE=1 SV=2	3	3	1.000	3	3	3.000
435	1	sp|O14530|TXND9_HUMAN	 	 	 	 	30.5	226	26534	Thioredoxin domain-containing protein 9 OS=Homo sapiens (Human) OX=9606 GN=TXNDC9 PE=1 SV=2	12	12	1.000	12	12	12.000
436	1	sp|O14531|DPYL4_HUMAN	 	 	 	 	7.2	572	61877	Dihydropyrimidinase-related protein 4 OS=Homo sapiens (Human) OX=9606 GN=DPYSL4 PE=1 SV=2	3	3	1.000	3	3	3.000
437	1	sp|O14545|TRAD1_HUMAN	 	 	 	 	19.2	582	64840	TRAF-type zinc finger domain-containing protein 1 OS=Homo sapiens (Human) OX=9606 GN=TRAFD1 PE=1 SV=1	19	19	1.000	19	19	19.000
438	1	sp|O14548|COX7R_HUMAN	 	 	 	 	64.0	114	12615	Cytochrome c oxidase subunit 7A-related protein, mitochondrial OS=Homo sapiens (Human) OX=9606 GN=COX7A2L PE=1 SV=2	23	23	1.000	23	23	23.000
439	1	sp|O14561|ACPM_HUMAN	 	 	 	 	23.7	156	17417	Acyl carrier protein, mitochondrial OS=Homo sapiens (Human) OX=9606 GN=NDUFAB1 PE=1 SV=3	15	15	1.000	15	15	15.000
440	1	sp|O14562|UBFD1_HUMAN	 	 	 	 	20.1	309	33382	Ubiquitin domain-containing protein UBFD1 OS=Homo sapiens (Human) OX=9606 GN=UBFD1 PE=1 SV=2	18	18	1.000	18	18	18.000
441	1	sp|O14578|CTRO_HUMAN	 	 	 	 	22.5	2027	231428	Citron Rho-interacting kinase OS=Homo sapiens (Human) OX=9606 GN=CIT PE=1 SV=2	82	82	1.000	82	82	82.000
442	1	sp|O14579|COPE_HUMAN	 	 	 	 	64.6	308	34482	Coatomer subunit epsilon OS=Homo sapiens (Human) OX=9606 GN=COPE PE=1 SV=3	33	33	1.000	33	33	33.000
443	1	sp|O14593|RFXK_HUMAN	 	 	 	 	18.1	260	28102	DNA-binding protein RFXANK OS=Homo sapiens (Human) OX=9606 GN=RFXANK PE=1 SV=2	3	3	1.000	3	3	3.000
444	1	sp|O14617|AP3D1_HUMAN	 	 	 	 	28.1	1153	130157	AP-3 complex subunit delta-1 OS=Homo sapiens (Human) OX=9606 GN=AP3D1 PE=1 SV=1	57	57	1.000	57	57	57.000
445	1	sp|O14618|CCS_HUMAN	 	 	 	 	16.1	274	29040	Copper chaperone for superoxide dismutase OS=Homo sapiens (Human) OX=9606 GN=CCS PE=1 SV=1	14	14	1.000	14	14	14.000
446	1	sp|O14639|ABLM1_HUMAN	 	 	sp|O14639|ABLM1_HUMAN, sp|O94929|ABLM3_HUMAN, sp|Q6H8Q1|ABLM2_HUMAN	 	4.0	778	87687	Actin-binding LIM protein 1 OS=Homo sapiens (Human) OX=9606 GN=ABLIM1 PE=1 SV=3	4	3	0.750	4	3	3.600
447	1	sp|O14640|DVL1_HUMAN (+1)	sp|O14640|DVL1_HUMAN&sp|P54792|DVLP1_HUMAN	 	sp|O14640|DVL1_HUMAN, sp|O14641|DVL2_HUMAN	 	6.6	695	75186	Segment polarity protein dishevelled homolog DVL-1 OS=Homo sapiens (Human) OX=9606 GN=DVL1 PE=1 SV=2	5	3	0.600	5	3	3.857
448	1	sp|O14641|DVL2_HUMAN	 	 	sp|O14640|DVL1_HUMAN, sp|O14641|DVL2_HUMAN	 	6.0	736	78947	Segment polarity protein dishevelled homolog DVL-2 OS=Homo sapiens (Human) OX=9606 GN=DVL2 PE=1 SV=1	6	4	0.667	6	4	5.143
449	1	sp|O14646|CHD1_HUMAN	 	 	sp|O14646|CHD1_HUMAN, sp|O14647|CHD2_HUMAN	 	14.7	1710	196685	Chromodomain-helicase-DNA-binding protein 1 OS=Homo sapiens (Human) OX=9606 GN=CHD1 PE=1 SV=2	45	32	0.711	45	32	38.400
450	1	sp|O14647|CHD2_HUMAN	 	 	sp|O14646|CHD1_HUMAN, sp|O14647|CHD2_HUMAN	 	15.0	1828	211341	Chromodomain-helicase-DNA-binding protein 2 OS=Homo sapiens (Human) OX=9606 GN=CHD2 PE=1 SV=2	46	33	0.717	46	33	39.600
451	1	sp|O14653|GOSR2_HUMAN	 	 	 	 	34.0	212	24775	Golgi SNAP receptor complex member 2 OS=Homo sapiens (Human) OX=9606 GN=GOSR2 PE=1 SV=2	12	12	1.000	12	12	12.000
452	1	sp|O14656|TOR1A_HUMAN	 	 	sp|O14656|TOR1A_HUMAN, sp|Q5JU69|TOR2A_HUMAN	 	26.5	332	37808	Torsin-1A OS=Homo sapiens (Human) OX=9606 GN=TOR1A PE=1 SV=1	12	9	0.750	12	9	11.077
453	1	sp|O14657|TOR1B_HUMAN	 	 	 	 	27.4	336	37978	Torsin-1B OS=Homo sapiens (Human) OX=9606 GN=TOR1B PE=1 SV=2	18	18	1.000	18	18	18.000
454	1	sp|O14662|STX16_HUMAN	 	 	 	 	29.5	325	37031	Syntaxin-16 OS=Homo sapiens (Human) OX=9606 GN=STX16 PE=1 SV=3	13	13	1.000	13	13	13.000
455	1	sp|O14672|ADA10_HUMAN	 	 	 	 	22.5	748	84141	Disintegrin and metalloproteinase domain-containing protein 10 OS=Homo sapiens (Human) OX=9606 GN=ADAM10 PE=1 SV=1	27	27	1.000	27	27	27.000
456	1	sp|O14681|EI24_HUMAN	 	 	 	 	5.6	340	38964	Etoposide-induced protein 2.4 homolog OS=Homo sapiens (Human) OX=9606 GN=EI24 PE=1 SV=4	5	5	1.000	5	5	5.000
457	1	sp|O14683|P5I11_HUMAN	 	 	 	 	13.2	189	21054	Tumor protein p53-inducible protein 11 OS=Homo sapiens (Human) OX=9606 GN=TP53I11 PE=1 SV=2	3	3	1.000	3	3	3.000
458	1	sp|O14686|KMT2D_HUMAN	 	 	 	 	1.9	5537	593383	Histone-lysine N-methyltransferase 2D OS=Homo sapiens (Human) OX=9606 GN=KMT2D PE=1 SV=2	12	12	1.000	12	12	12.000
459	1	sp|O14713|ITBP1_HUMAN	 	 	 	 	13.5	200	21782	Integrin beta-1-binding protein 1 OS=Homo sapiens (Human) OX=9606 GN=ITGB1BP1 PE=1 SV=1	4	4	1.000	4	4	4.000
461	1	sp|O14727|APAF_HUMAN	 	 	 	 	5.1	1248	141838	Apoptotic protease-activating factor 1 OS=Homo sapiens (Human) OX=9606 GN=APAF1 PE=1 SV=2	6	6	1.000	6	6	6.000
462	1	sp|O14730|RIOK3_HUMAN	 	 	 	 	15.4	519	59092	Serine/threonine-protein kinase RIO3 OS=Homo sapiens (Human) OX=9606 GN=RIOK3 PE=1 SV=2	11	11	1.000	11	11	11.000
463	1	sp|O14732|IMPA2_HUMAN	 	 	 	 	11.5	288	31321	Inositol monophosphatase 2 OS=Homo sapiens (Human) OX=9606 GN=IMPA2 PE=1 SV=1	3	3	1.000	3	3	3.000
464	1	sp|O14733|MP2K7_HUMAN	 	 	 	 	11.9	419	47484	Dual specificity mitogen-activated protein kinase kinase 7 OS=Homo sapiens (Human) OX=9606 GN=MAP2K7 PE=1 SV=2	8	8	1.000	8	8	8.000
465	1	sp|O14734|ACOT8_HUMAN	 	 	 	 	22.6	319	35914	Acyl-coenzyme A thioesterase 8 OS=Homo sapiens (Human) OX=9606 GN=ACOT8 PE=1 SV=1	11	11	1.000	11	11	11.000
466	1	sp|O14735|CDIPT_HUMAN	 	 	 	 	23.5	213	23539	CDP-diacylglycerol--inositol 3-phosphatidyltransferase OS=Homo sapiens (Human) OX=9606 GN=CDIPT PE=1 SV=1	30	30	1.000	30	30	30.000
467	1	sp|O14737|PDCD5_HUMAN	 	 	 	 	59.2	125	14285	Programmed cell death protein 5 OS=Homo sapiens (Human) OX=9606 GN=PDCD5 PE=1 SV=3	52	52	1.000	52	52	52.000
468	1	sp|O14744|ANM5_HUMAN	 	 	 	 	32.7	637	72683	Protein arginine N-methyltransferase 5 OS=Homo sapiens (Human) OX=9606 GN=PRMT5 PE=1 SV=4	67	67	1.000	67	67	67.000
469	1	sp|O14745|NHRF1_HUMAN	 	 	 	 	54.2	358	38868	Na(+)/H(+) exchange regulatory cofactor NHE-RF1 OS=Homo sapiens (Human) OX=9606 GN=SLC9A3R1 PE=1 SV=4	134	134	1.000	134	134	134.000
470	1	sp|O14757|CHK1_HUMAN	 	 	 	 	15.3	476	54433	Serine/threonine-protein kinase Chk1 OS=Homo sapiens (Human) OX=9606 GN=CHEK1 PE=1 SV=2	18	18	1.000	18	18	18.000
471	1	sp|O14772|FPGT_HUMAN	 	 	 	 	6.4	607	68009	Fucose-1-phosphate guanylyltransferase OS=Homo sapiens (Human) OX=9606 GN=FPGT PE=1 SV=3	3	3	1.000	3	3	3.000
472	1	sp|O14773|TPP1_HUMAN	 	 	 	 	6.9	563	61247	Tripeptidyl-peptidase 1 OS=Homo sapiens (Human) OX=9606 GN=TPP1 PE=1 SV=2	6	6	1.000	6	6	6.000
473	1	sp|O14776|TCRG1_HUMAN	 	 	 	 	28.3	1098	123900	Transcription elongation regulator 1 OS=Homo sapiens (Human) OX=9606 GN=TCERG1 PE=1 SV=2	93	93	1.000	93	93	93.000
474	1	sp|O14777|NDC80_HUMAN	 	 	 	 	35.8	642	73912	Kinetochore protein NDC80 homolog OS=Homo sapiens (Human) OX=9606 GN=NDC80 PE=1 SV=1	36	36	1.000	36	36	36.000
475	1	sp|O14782|KIF3C_HUMAN	 	 	sp|O14782|KIF3C_HUMAN, sp|O15066|KIF3B_HUMAN, sp|Q9P2E2|KIF17_HUMAN	 	11.1	793	89425	Kinesin-like protein KIF3C OS=Homo sapiens (Human) OX=9606 GN=KIF3C PE=1 SV=3	11	2	0.182	11	2	3.200
476	1	sp|O14787|TNPO2_HUMAN	 	 	sp|O14787|TNPO2_HUMAN, sp|Q92973|TNPO1_HUMAN	 	20.8	897	101387	Transportin-2 OS=Homo sapiens (Human) OX=9606 GN=TNPO2 PE=1 SV=3	47	23	0.489	47	23	29.815
477	1	sp|O14795|UN13B_HUMAN	 	 	sp|O14795|UN13B_HUMAN, sp|Q8NB66|UN13C_HUMAN	 	6.5	1591	180677	Protein unc-13 homolog B OS=Homo sapiens (Human) OX=9606 GN=UNC13B PE=1 SV=2	14	13	0.929	14	13	13.929
478	1	sp|O14802|RPC1_HUMAN	 	 	sp|O14802|RPC1_HUMAN, sp|O95602|RPA1_HUMAN	 	19.3	1390	155640	DNA-directed RNA polymerase III subunit RPC1 OS=Homo sapiens (Human) OX=9606 GN=POLR3A PE=1 SV=2	34	33	0.971	34	33	33.347
479	1	sp|O14815|CAN9_HUMAN	 	 	 	 	10.7	690	79096	Calpain-9 OS=Homo sapiens (Human) OX=9606 GN=CAPN9 PE=1 SV=1	6	6	1.000	6	6	6.000
480	1	sp|O14818|PSA7_HUMAN	 	 	 	 	51.2	248	27887	Proteasome subunit alpha type-7 OS=Homo sapiens (Human) OX=9606 GN=PSMA7 PE=1 SV=1	80	80	1.000	80	80	80.000
481	1	sp|O14828|SCAM3_HUMAN	 	 	 	 	35.4	347	38287	Secretory carrier-associated membrane protein 3 OS=Homo sapiens (Human) OX=9606 GN=SCAMP3 PE=1 SV=3	23	23	1.000	23	23	23.000
482	1	sp|O14832|PAHX_HUMAN	 	 	 	 	18.0	338	38538	Phytanoyl-CoA dioxygenase, peroxisomal OS=Homo sapiens (Human) OX=9606 GN=PHYH PE=1 SV=1	6	6	1.000	6	6	6.000
483	1	sp|O14841|OPLA_HUMAN	 	 	 	 	10.1	1288	137456	5-oxoprolinase OS=Homo sapiens (Human) OX=9606 GN=OPLAH PE=1 SV=3	12	12	1.000	12	12	12.000
484	1	sp|O14867|BACH1_HUMAN	 	 	 	 	2.7	736	81957	Transcription regulator protein BACH1 OS=Homo sapiens (Human) OX=9606 GN=BACH1 PE=1 SV=2	2	2	1.000	2	2	2.000
485	1	sp|O14874|BCKD_HUMAN	 	 	 	 	30.1	412	46360	[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial OS=Homo sapiens (Human) OX=9606 GN=BCKDK PE=1 SV=2	13	13	1.000	13	13	13.000
486	1	sp|O14880|MGST3_HUMAN	 	 	 	 	14.5	152	16516	Microsomal glutathione S-transferase 3 OS=Homo sapiens (Human) OX=9606 GN=MGST3 PE=1 SV=1	4	4	1.000	4	4	4.000
487	1	sp|O14893|GEMI2_HUMAN	 	 	 	 	10.4	280	31585	Gem-associated protein 2 OS=Homo sapiens (Human) OX=9606 GN=GEMIN2 PE=1 SV=1	7	7	1.000	7	7	7.000
488	1	sp|O14896|IRF6_HUMAN	 	 	 	 	12.8	467	53129	Interferon regulatory factor 6 OS=Homo sapiens (Human) OX=9606 GN=IRF6 PE=1 SV=1	10	10	1.000	10	10	10.000
489	1	sp|O14907|TX1B3_HUMAN	 	 	 	 	53.2	124	13735	Tax1-binding protein 3 OS=Homo sapiens (Human) OX=9606 GN=TAX1BP3 PE=1 SV=2	11	11	1.000	11	11	11.000
490	1	sp|O14908|GIPC1_HUMAN	 	 	 	 	43.2	333	36049	PDZ domain-containing protein GIPC1 OS=Homo sapiens (Human) OX=9606 GN=GIPC1 PE=1 SV=2	25	25	1.000	25	25	25.000
491	1	sp|O14910|LIN7A_HUMAN	 	 	sp|O14910|LIN7A_HUMAN, sp|Q9HAP6|LIN7B_HUMAN, sp|Q9NUP9|LIN7C_HUMAN	 	29.6	233	25996	Protein lin-7 homolog A OS=Homo sapiens (Human) OX=9606 GN=LIN7A PE=1 SV=2	15	5	0.333	15	5	8.353
492	1	sp|O14920|IKKB_HUMAN	 	 	sp|O14920|IKKB_HUMAN, sp|O15111|IKKA_HUMAN	 	16.7	756	86563	Inhibitor of nuclear factor kappa-B kinase subunit beta OS=Homo sapiens (Human) OX=9606 GN=IKBKB PE=1 SV=1	17	14	0.824	17	14	15.448
493	1	sp|O14924|RGS12_HUMAN	 	 	 	 	2.0	1447	156356	Regulator of G-protein signaling 12 OS=Homo sapiens (Human) OX=9606 GN=RGS12 PE=1 SV=1	3	3	1.000	3	3	3.000
494	1	sp|O14925|TIM23_HUMAN (+1)	sp|O14925|TIM23_HUMAN&sp|Q5SRD1|TI23B_HUMAN	 	 	 	23.0	209	21943	Mitochondrial import inner membrane translocase subunit Tim23 OS=Homo sapiens (Human) OX=9606 GN=TIMM23 PE=1 SV=1	5	5	1.000	5	5	5.000
495	1	sp|O14929|HAT1_HUMAN	 	 	 	 	44.9	419	49512	Histone acetyltransferase type B catalytic subunit OS=Homo sapiens (Human) OX=9606 GN=HAT1 PE=1 SV=1	24	24	1.000	24	24	24.000
496	1	sp|O14936|CSKP_HUMAN	 	 	 	 	24.1	926	105122	Peripheral plasma membrane protein CASK OS=Homo sapiens (Human) OX=9606 GN=CASK PE=1 SV=3	31	31	1.000	31	31	31.000
497	1	sp|O14939|PLD2_HUMAN	 	 	 	 	4.8	933	105986	Phospholipase D2 OS=Homo sapiens (Human) OX=9606 GN=PLD2 PE=1 SV=2	5	5	1.000	5	5	5.000
498	1	sp|O14949|QCR8_HUMAN	 	 	 	 	46.3	82	9906	Cytochrome b-c1 complex subunit 8 OS=Homo sapiens (Human) OX=9606 GN=UQCRQ PE=1 SV=4	20	20	1.000	20	20	20.000
499	1	sp|O14950|ML12B_HUMAN (+1)	sp|O14950|ML12B_HUMAN&sp|P19105|ML12A_HUMAN	 	 	 	54.7	172	19779	Myosin regulatory light chain 12B OS=Homo sapiens (Human) OX=9606 GN=MYL12B PE=1 SV=2	86	86	1.000	86	86	86.000
500	1	sp|O14964|HGS_HUMAN	 	 	 	 	21.5	777	86191	Hepatocyte growth factor-regulated tyrosine kinase substrate OS=Homo sapiens (Human) OX=9606 GN=HGS PE=1 SV=1	38	38	1.000	38	38	38.000
