New PAW TMT results file!
Program "PAW_protein_grouper.py" run on Fri May  8 06:42:05 2020
 
 
ProtGroup	Counter	Accession	Identical	Similar	OtherLoci	Filter	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	Total_GMHJYZ_human_ecoli	Unique_GMHJYZ_human_ecoli	Corrected_GMHJYZ_human_ecoli	PSMs_Used_GMHJYZ_human_ecoli	TotInt_126C_GMHJYZ_human_ecoli	TotInt_127N_GMHJYZ_human_ecoli	TotInt_127C_GMHJYZ_human_ecoli	TotInt_128N_GMHJYZ_human_ecoli	TotInt_128C_GMHJYZ_human_ecoli	TotInt_129N_GMHJYZ_human_ecoli	TotInt_129C_GMHJYZ_human_ecoli	TotInt_130N_GMHJYZ_human_ecoli	TotInt_130C_GMHJYZ_human_ecoli	TotInt_131N_GMHJYZ_human_ecoli	TotInt_131C_GMHJYZ_human_ecoli
1244	1	sp|P00491|PNPH_HUMAN	 	 	 	 	56.1	289	32118	Purine nucleoside phosphorylase OS=Homo sapiens (Human) OX=9606 GN=PNP PE=1 SV=2	62	62	1.000	62	62	62.000	62	18625099.847655002	16619193.54248	18653936.392580003	19142339.49451	19588456.757935	19352180.757813998	17509837.773193	14320595.031555	17004667.376343	14131317.522217	308160.77807700005
1245	1	sp|P00492|HPRT_HUMAN	 	 	 	 	61.0	218	24579	Hypoxanthine-guanine phosphoribosyltransferase OS=Homo sapiens (Human) OX=9606 GN=HPRT1 PE=1 SV=2	58	58	1.000	58	58	58.000	58	22530842.263185002	21077258.75586	22147655.134277	23053412.293458	23351259.71289	25568191.947267	20403301.705079004	17244102.031253	17611234.647951	17569291.06836	223678.329347
1246	1	sp|P00505|AATM_HUMAN	 	 	 	 	42.6	430	47517	Aspartate aminotransferase, mitochondrial OS=Homo sapiens (Human) OX=9606 GN=GOT2 PE=1 SV=3	119	119	1.000	119	119	119.000	119	68498265.19286999	60961655.569828	66026118.21386899	73886307.53711402	72890074.02686098	79309917.19214405	60914150.166265	62097768.39721599	65719788.964356005	59813411.05566499	1584560.6418480002
1247	1	sp|P00509|AAT_ECOLI	 	 	sp|P00509|AAT_ECOLI, sp|P17174|AATC_HUMAN	 	73.5	396	43573	Aspartate aminotransferase OS=Escherichia coli (strain K12) OX=83333 GN=aspC PE=1 SV=1	235	223	0.949	235	223	232.661	223	48494672.77808198	43605216.83996998	46607480.62439698	82289533.55407904	69731934.14771199	83659242.09302406	62241000.94031602	118907895.05616203	124773650.899418	121528373.72778505	3112900.991333999
1248	1	sp|P00519|ABL1_HUMAN	 	 	sp|P00519|ABL1_HUMAN, sp|P42684|ABL2_HUMAN	 	8.5	1130	122871	Tyrosine-protein kinase ABL1 OS=Homo sapiens (Human) OX=9606 GN=ABL1 PE=1 SV=4	10	6	0.600	10	6	8.667	6	329745.288085	316609.445312	327882.458009	366883.902343	551728.1132799999	372244.517579	341642.91992200003	274469.182617	309425.144532	334173.082031	11708.301759000002
1249	1	sp|P00547|KHSE_ECOLI	 	 	 	 	24.2	310	33623	Homoserine kinase OS=Escherichia coli (strain K12) OX=83333 GN=thrB PE=1 SV=2	26	26	1.000	26	26	26.000	26	10161944.170901	8463359.197265001	11026589.706054999	16042316.144531999	14606790.964845002	16645854.11426	13078986.233401	20286135.271486003	25442889.855469998	21846144.595703	675365.513062
1250	1	sp|P00550|PTM3C_ECOLI	 	 	 	 	33.6	637	67971	PTS system mannitol-specific EIICBA component OS=Escherichia coli (strain K12) OX=83333 GN=mtlA PE=1 SV=1	27	27	1.000	27	27	27.000	27	4516059.504637999	3956733.838624	4110494.311279	6339298.99707	5534007.247071	6424202.688476	5361624.410155	8710028.808595002	9472608.223632999	9028477.353515	198719.690307
1251	1	sp|P00558|PGK1_HUMAN	 	 	sp|P00558|PGK1_HUMAN, sp|P07205|PGK2_HUMAN	 	84.9	417	44614	Phosphoglycerate kinase 1 OS=Homo sapiens (Human) OX=9606 GN=PGK1 PE=1 SV=3	456	352	0.772	456	352	453.127	353	328041671.9924301	297136789.602055	347431593.1438032	359883250.3055444	361707443.45703894	344373263.213136	287667185.76887095	296515326.60888433	253900366.9093089	263477370.10925603	4270041.797057001
1252	1	sp|P00561|AK1H_ECOLI	 	 	 	 	54.3	820	89119	Bifunctional aspartokinase/homoserine dehydrogenase 1 OS=Escherichia coli (strain K12) OX=83333 GN=thrA PE=1 SV=2	159	159	1.000	159	159	159.000	159	32968976.888252005	28966075.292237993	33004339.085148994	58158876.17944499	50244624.501590975	59799795.56519099	47105945.87293	89678887.76294102	98812577.665534	92587967.55078097	2176216.0578630003
1253	1	sp|P00562|AK2H_ECOLI	 	 	 	 	31.4	810	88887	Bifunctional aspartokinase/homoserine dehydrogenase 2 OS=Escherichia coli (strain K12) OX=83333 GN=metL PE=1 SV=3	33	33	1.000	33	33	33.000	33	4743327.556156	4255572.534182	4697929.548339	7233502.469727	6909035.8955109995	7490111.193359001	5949916.517579	9790597.404298	10915113.84961	10559515.63086	281580.38964800007
1254	1	sp|P00568|KAD1_HUMAN	 	 	REV_Q8NFJ9, sp|P00568|KAD1_HUMAN	 	49.0	194	21635	Adenylate kinase isoenzyme 1 OS=Homo sapiens (Human) OX=9606 GN=AK1 PE=1 SV=3	24	23	0.958	24	23	24.000	23	3039145.106445	2897990.8212889996	2973258.430174	3214948.251954	3070706.612303	3402385.064454	2746641.059081	2340328.8417970003	2702395.0175770004	2627755.3325190004	43185.047302000006
1255	1	sp|P00579|RPOD_ECOLI	 	 	 	 	29.4	613	70263	RNA polymerase sigma factor RpoD OS=Escherichia coli (strain K12) OX=83333 GN=rpoD PE=1 SV=2	70	70	1.000	70	70	70.000	70	9544598.161624001	9118130.205262002	9683964.197513003	16032666.457274001	13860414.342713999	16971416.888186995	12692973.130618	22450136.666017	25151758.449954998	23762941.416503996	544801.695432
1256	1	sp|P00582|DPO1_ECOLI	 	 	 	 	49.9	928	103117	DNA polymerase I OS=Escherichia coli (strain K12) OX=83333 GN=polA PE=1 SV=1	90	90	1.000	90	90	90.000	90	7598753.116091002	6845470.2517140005	7658206.175966995	12426680.013306001	11062359.447871001	12511256.898802001	9965836.501279002	16626030.354249002	18508509.395020004	17826239.268802997	396397.122676
1257	1	sp|P00634|PPB_ECOLI	 	 	 	 	18.0	471	49438	Alkaline phosphatase OS=Escherichia coli (strain K12) OX=83333 GN=phoA PE=1 SV=1	10	10	1.000	10	10	10.000	10	3506462.86377	3277727.848633	3610952.778808	5237557.81543	5254144.168945	5213627.582031	4280312.002442	6954769.460937	8156608.803711001	7594172.904297	295135.892334
1258	1	sp|P00738|HPT_HUMAN	 	 	 	 	19.2	406	45205	Haptoglobin OS=Homo sapiens (Human) OX=9606 GN=HP PE=1 SV=1	10	10	1.000	10	10	10.000	10	1780992.3339830001	1877331.3505860001	2172019.567384	1852802.5449219998	2158986.976563	1295873.578126	1517157.430664	1049499.2968759998	1293547.2939440003	913052.9428709999	4299.822021
1259	1	sp|P00803|LEP_ECOLI	 	 	 	 	37.0	324	35960	Signal peptidase I OS=Escherichia coli (strain K12) OX=83333 GN=lepB PE=1 SV=2	17	17	1.000	17	17	17.000	17	1918455.082031	1738030.478516	2125158.406248	3157000.021485	2730758.2246100004	3322690.08789	2551595.6875010002	4206899.638673	4892597.466798	4708689.417971	138322.628174
1260	1	sp|P00805|ASPG2_ECOLI	 	 	 	 	11.8	348	36850	L-asparaginase 2 OS=Escherichia coli (strain K12) OX=83333 GN=ansB PE=1 SV=2	3	3	1.000	3	3	3.000	3	48202.474610000005	45715.716797	48289.89257900001	87063.412109	76294.037109	89358.359375	73225.967774	128273.65625	144734.351562	136609.505859	6200.2362060000005
1261	1	sp|P00811|AMPC_ECOLI	 	 	 	 	31.8	377	41555	Beta-lactamase OS=Escherichia coli (strain K12) OX=83333 GN=ampC PE=1 SV=1	14	14	1.000	14	14	14.000	14	858375.1171859999	735643.1718739999	860796.5624990001	1251521.111327	1150118.4785169999	1206553.394531	1057390.7734369999	1541695.5117199998	1634391.009766	1592575.7832049998	62948.370605000004
1262	1	sp|P00813|ADA_HUMAN	 	 	 	 	25.9	363	40764	Adenosine deaminase OS=Homo sapiens (Human) OX=9606 GN=ADA PE=1 SV=3	26	26	1.000	26	26	26.000	26	3705108.8543710005	5175446.868165	3571232.7995600007	4482713.094728	4442446.103023999	5382742.348635	4936100.668457	8874412.55957	4152901.83252	5240631.251955	74974.499817
1263	1	sp|P00816|CYNS_ECOLI	 	 	 	 	12.8	156	17049	Cyanate hydratase OS=Escherichia coli (strain K12) OX=83333 GN=cynS PE=1 SV=2	3	3	1.000	3	3	3.000	3	373092.47070299997	360644.85742200003	338112.851563	420002.652344	370468.648437	431727.246094	357744.81445299997	353907.453126	344730.890625	330816.566407	10100.007567999999
1264	1	sp|P00861|DCDA_ECOLI	 	 	 	 	30.0	420	46177	Diaminopimelate decarboxylase OS=Escherichia coli (strain K12) OX=83333 GN=lysA PE=1 SV=1	12	12	1.000	12	12	12.000	12	1096547.5067130001	966975.363037	1121884.2055659997	2053998.499023	1670317.5097639998	1769419.969727	1421158.6071779998	2244769.394044	2590639.6562510002	2360556.572755	42057.145019
1265	1	sp|P00864|CAPP_ECOLI	 	 	 	 	55.6	883	99061	Phosphoenolpyruvate carboxylase OS=Escherichia coli (strain K12) OX=83333 GN=ppc PE=1 SV=1	238	238	1.000	238	238	238.000	238	48373818.784860015	43093754.426631	48277007.80908299	75763795.96021502	67945061.71399102	75933724.43311404	60420710.79504801	102981247.98511307	115697679.53125106	108653144.04907404	3143303.710450001
1266	1	sp|P00887|AROH_ECOLI	 	 	 	 	33.3	348	38735	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive OS=Escherichia coli (strain K12) OX=83333 GN=aroH PE=1 SV=4	16	16	1.000	16	16	16.000	16	2519825.484375	2482583.913575	2710511.731936	3951896.441408	3660218.208986	4107848.867188	3358532.389161	5029272.670898	5264308.702149	5258580.748047	144597.728027
1267	1	sp|P00888|AROF_ECOLI	 	 	sp|P00888|AROF_ECOLI, sp|P0AB91|AROG_ECOLI	 	42.4	356	38804	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive OS=Escherichia coli (strain K12) OX=83333 GN=aroF PE=1 SV=1	34	30	0.882	34	30	31.224	30	1284278.8222650003	1186803.2499999998	1324794.3613279997	2097283.262699	1862003.2919939999	2148995.505858	1724977.9970689996	2799437.693359	3105726.001955	2985630.8437520005	100649.801514
1268	1	sp|P00893|ILVI_ECOLI	 	 	 	 	51.4	574	62984	Acetolactate synthase isozyme 3 large subunit OS=Escherichia coli (strain K12) OX=83333 GN=ilvI PE=1 SV=2	63	63	1.000	63	63	63.000	63	8984315.976685002	8271976.307372003	8876395.380610999	14485667.138917001	12372909.968751002	14878401.371092003	11568170.637694998	19325607.410646	21287536.606933996	21021549.114744008	658183.9624619999
1269	1	sp|P00894|ILVH_ECOLI	 	 	 	 	68.7	163	17977	Acetolactate synthase isozyme 3 small subunit OS=Escherichia coli (strain K12) OX=83333 GN=ilvH PE=1 SV=3	26	26	1.000	26	26	26.000	26	6263899.056886001	6085234.902587999	6330976.753175001	8641918.289062003	9030037.309081998	10108375.141112998	7368565.875001001	11826535.250001999	12410436.47412	12279366.938966	259913.328185
1270	1	sp|P00895|TRPE_ECOLI	 	 	 	 	33.5	520	57494	Anthranilate synthase component 1 OS=Escherichia coli (strain K12) OX=83333 GN=trpE PE=1 SV=2	48	48	1.000	48	48	48.000	48	6022370.764648997	5514578.617918	5720469.883297999	8052347.085937002	7442516.465336001	7973698.092773001	6810862.629396002	8744177.285156	10330790.290042002	9825474.649903	290626.695435
1271	1	sp|P00904|TRPGD_ECOLI	 	 	 	 	38.4	531	56869	Bifunctional protein TrpGD OS=Escherichia coli (strain K12) OX=83333 GN=trpGD PE=1 SV=3	29	29	1.000	29	29	29.000	29	3067314.768801	2316125.4816900003	2877865.808105	3892182.7041040002	3801459.4086909997	4104616.158202	3427182.7236340004	4808365.073731001	5395575.280273999	5120865.004884001	32966.828247
1272	1	sp|P00909|TRPC_ECOLI	 	 	 	 	45.9	453	49492	Tryptophan biosynthesis protein TrpCF OS=Escherichia coli (strain K12) OX=83333 GN=trpC PE=1 SV=4	47	47	1.000	47	47	47.000	47	4987580.642581	4329204.189331999	5147382.125979001	7493139.8417960005	6494945.7998049995	7708695.476562999	6132885.009767001	9512155.917970002	10841101.913576	10229228.899903001	287883.96374200005
1273	1	sp|P00914|PHR_ECOLI	 	 	 	 	12.3	472	53666	Deoxyribodipyrimidine photo-lyase OS=Escherichia coli (strain K12) OX=83333 GN=phrB PE=1 SV=1	4	4	1.000	4	4	4.000	4	175526.613281	201323.773438	248372.666016	413595.36132699996	306882.533204	231674.091797	313651.268554	524604.204101	326579.725586	390420.553711	2086.222656
1274	1	sp|P00915|CAH1_HUMAN	 	 	 	 	21.5	261	28870	Carbonic anhydrase 1 OS=Homo sapiens (Human) OX=9606 GN=CA1 PE=1 SV=2	6	6	1.000	6	6	6.000	6	225903.212892	166610.637694	191356.99902400002	263254.799805	148671.134766	118764.44629	191923.890624	174421.229493	159599.78662199999	192373.367188	3137.783203
1275	1	sp|P00918|CAH2_HUMAN	 	 	 	 	64.6	260	29246	Carbonic anhydrase 2 OS=Homo sapiens (Human) OX=9606 GN=CA2 PE=1 SV=2	172	172	1.000	172	172	172.000	172	169318821.48462516	151171666.20837805	164347029.17309704	175112857.42627203	168038319.1828651	197047659.18189204	154870767.77966508	120603948.97863403	140201709.43555	123335557.23022701	3973922.43231
1276	1	sp|P00926|SDHD_ECOLI	 	 	 	 	28.3	442	47900	D-serine dehydratase OS=Escherichia coli (strain K12) OX=83333 GN=dsdA PE=1 SV=3	13	13	1.000	13	13	13.000	13	1270168.963869	1087230.332031	1319481.6240240003	1625584.5546869999	1434185.8027360002	1711545.488281	1339808.7246100002	1653788.699217	2024919.720704	1842439.9648429998	57596.935058
1277	1	sp|P00934|THRC_ECOLI	 	 	 	 	72.9	428	47113	Threonine synthase OS=Escherichia coli (strain K12) OX=83333 GN=thrC PE=1 SV=1	119	119	1.000	119	119	119.000	119	16825385.094293006	14086513.337519	16450759.456669994	28243182.519047998	24899887.274782006	29099885.85595999	22806066.054081995	41601444.73828401	46200520.766604014	43236138.88867601	512071.91985799995
1278	1	sp|P00935|METB_ECOLI	 	 	 	 	17.9	386	41550	Cystathionine gamma-synthase OS=Escherichia coli (strain K12) OX=83333 GN=metB PE=1 SV=1	19	19	1.000	19	19	19.000	19	1493577.966799	1336949.200193	1421849.570312	2758391.478516	2229876.842775	2651417.463867	2067349.299805	3745992.9716809997	3880946.450196	4008614.2607440003	74194.285157
1279	1	sp|P00936|CYAA_ECOLI	 	 	 	 	15.7	848	97585	Adenylate cyclase OS=Escherichia coli (strain K12) OX=83333 GN=cyaA PE=1 SV=5	11	11	1.000	11	11	11.000	11	463593.562501	439992.798829	464421.94042899995	732817.6259780001	674145.2294930001	729995.395508	579765.72754	909547.962893	1064780.1972659999	989125.123047	40806.179565
1280	1	sp|P00944|XYLA_ECOLI	 	 	 	 	23.9	440	49741	Xylose isomerase OS=Escherichia coli (strain K12) OX=83333 GN=xylA PE=3 SV=1	11	11	1.000	11	11	11.000	11	507617.97265599994	543082.3925799999	502708.254396	779838.1347659999	663907.5571300001	781950.528319	632625.983887	1005730.2812500001	1167783.858399	1127655.747071	8788.041503
1281	1	sp|P00946|MANA_ECOLI	 	 	 	 	45.3	391	42849	Mannose-6-phosphate isomerase OS=Escherichia coli (strain K12) OX=83333 GN=manA PE=1 SV=1	70	70	1.000	70	70	70.000	70	8474117.027653001	7100913.575502999	8163931.856079001	13005012.229006002	11108736.088865	12588288.148683002	9961489.266967999	15008610.760742998	16757745.750489002	16317866.334959999	405570.84313999995
1282	1	sp|P00954|SYW_ECOLI	 	 	 	 	38.3	334	37437	Tryptophan--tRNA ligase OS=Escherichia coli (strain K12) OX=83333 GN=trpS PE=1 SV=3	64	64	1.000	64	64	64.000	64	8189022.518067999	6957547.484868002	8083186.156007002	12634711.189454997	11036198.382326	12672322.371095002	9909559.148440003	17468648.912113	19182129.124511003	18130683.682129	285022.7174070001
1283	1	sp|P00956|SYI_ECOLI	 	 	 	 	48.4	938	104296	Isoleucine--tRNA ligase OS=Escherichia coli (strain K12) OX=83333 GN=ileS PE=1 SV=5	157	157	1.000	157	157	157.000	157	28116039.235355	24555778.109619997	27708982.63330399	46297921.191406004	40658645.089114	47541127.602546	37805746.27002599	64567024.33398401	73106174.64209303	69833830.86181502	1714158.6311050002
1284	1	sp|P00957|SYA_ECOLI	 	 	 	 	62.9	876	96031	Alanine--tRNA ligase OS=Escherichia coli (strain K12) OX=83333 GN=alaS PE=1 SV=2	186	186	1.000	186	186	186.000	186	41533145.7334	36443132.76086499	42385948.386841	64785952.662352994	58964531.75409097	66999033.04955999	52815418.51318699	87852237.76904601	99652690.74170202	90693973.27735102	2538903.666387
1285	1	sp|P00959|SYM_ECOLI	 	 	 	 	44.2	677	76254	Methionine--tRNA ligase OS=Escherichia coli (strain K12) OX=83333 GN=metG PE=1 SV=2	73	73	1.000	73	73	73.000	73	16408564.038089002	14644185.888672002	16285587.590329	27157145.184085	22507414.913083997	26848033.416017	20736103.42676	35159283.103517994	38899066.521485	37052255.91406301	1130319.8316670002
1286	1	sp|P00960|SYGA_ECOLI	 	 	 	 	34.7	303	34774	Glycine--tRNA ligase alpha subunit OS=Escherichia coli (strain K12) OX=83333 GN=glyQ PE=1 SV=2	35	35	1.000	35	35	35.000	35	4402500.586916001	4284603.657229	4799907.274415	6681621.743653001	6239638.197755001	7034559.276369	5722379.934083001	7553297.211914999	8333733.439452001	8269858.58203	127654.160034
1287	1	sp|P00961|SYGB_ECOLI	 	 	 	 	56.2	689	76812	Glycine--tRNA ligase beta subunit OS=Escherichia coli (strain K12) OX=83333 GN=glyS PE=1 SV=4	159	159	1.000	159	159	159.000	159	29451310.266662	27018373.95702699	29280640.94616001	53599726.98425698	44823875.68469599	54291198.32519901	41149537.367798	77020466.91015899	85238870.70948002	82471480.40234601	2344443.6527719996
1288	1	sp|P00962|SYQ_ECOLI	 	 	 	 	47.1	554	63477	Glutamine--tRNA ligase OS=Escherichia coli (strain K12) OX=83333 GN=glnS PE=1 SV=3	65	65	1.000	65	65	65.000	65	9093587.809080001	7752982.069338002	9134074.218754	15641599.390627004	13070359.033201003	15465517.896974003	12364262.453614	22097125.317381002	24647792.606445	22825894.059084997	789913.647706
1289	1	sp|P00963|ASNA_ECOLI	 	 	 	 	34.5	330	36650	Aspartate--ammonia ligase OS=Escherichia coli (strain K12) OX=83333 GN=asnA PE=1 SV=1	22	22	1.000	22	22	22.000	22	1744577.8813469997	1428650.636719	1588519.9814449996	2731417.746582	2249078.7729500006	2883074.2871120004	2227319.069335	4011394.0634769998	4395707.655273	3940067.736329	70514.625
1290	1	sp|P00966|ASSY_HUMAN	 	 	 	 	33.5	412	46530	Argininosuccinate synthase OS=Homo sapiens (Human) OX=9606 GN=ASS1 PE=1 SV=2	35	35	1.000	35	35	35.000	35	9297431.609864999	8227187.015503002	9044095.430543	10894191.590456001	11362738.673585998	12040656.164064998	9407119.016114	8862234.715576	9404625.537110997	9302696.214845998	268936.855593
1291	1	sp|P00968|CARB_ECOLI	 	 	sp|P00968|CARB_ECOLI, sp|P27708|PYR1_HUMAN, sp|P31327|CPSM_HUMAN	 	54.1	1073	117840	Carbamoyl-phosphate synthase large chain OS=Escherichia coli (strain K12) OX=83333 GN=carB PE=1 SV=2	226	213	0.942	226	213	224.409	213	54108412.49487099	48458540.83985	52367831.03137396	89929320.379398	79195167.69311503	92587172.99072804	72505582.490234	128521400.31298496	143153055.16601807	137428790.04004207	3613943.944462
1292	1	sp|P01008|ANT3_HUMAN	 	 	 	 	3.9	464	52602	Antithrombin-III OS=Homo sapiens (Human) OX=9606 GN=SERPINC1 PE=1 SV=1	2	2	1.000	2	2	2.000	2	127867.322266	192507.52832	138688.44873	223137.601562	141886.0625	260475.31933600002	157984.636719	134576.22900400002	105566.880859	157917.789062	500.0
1293	1	sp|P01009|A1AT_HUMAN	 	 	 	 	7.7	418	46736	Alpha-1-antitrypsin OS=Homo sapiens (Human) OX=9606 GN=SERPINA1 PE=1 SV=3	3	3	1.000	3	3	3.000	3	354997.386719	302331.429688	368342.28125	368286.144531	394539.746094	352336.285156	318550.378906	282553.691406	319831.572266	266722.078125	9514.385254
1294	1	sp|P01011|AACT_HUMAN	 	 	 	 	4.0	423	47650	Alpha-1-antichymotrypsin OS=Homo sapiens (Human) OX=9606 GN=SERPINA3 PE=1 SV=2	3	3	1.000	3	3	3.000	3	557459.15625	705088.421875	552620.5	762437.859375	657315.4375	974657.375	585659.421875	714098.546875	506646.078125	590937.703125	12536.694336
1295	1	sp|P01023|A2MG_HUMAN	 	 	 	 	6.0	1474	163289	Alpha-2-macroglobulin OS=Homo sapiens (Human) OX=9606 GN=A2M PE=1 SV=3	12	12	1.000	12	12	12.000	12	1555282.441404	1521131.8701179998	1788322.9853539998	1774114.630858	1725075.6279300004	2267475.3798829997	1576124.0576159996	1681966.038086	1533997.523437	1430285.89453	51139.25219700001
1296	1	sp|P01024|CO3_HUMAN	 	 	 	 	3.5	1663	187146	Complement C3 OS=Homo sapiens (Human) OX=9606 GN=C3 PE=1 SV=2	9	9	1.000	9	9	9.000	9	274316.38085899997	311053.08789	302657.708007	353014.020509	353602.272461	308566.92334	283558.503905	272648.89941300004	288980.253906	213117.234862	6060.6878050000005
1297	1	sp|P01034|CYTC_HUMAN	 	 	 	 	30.8	146	15799	Cystatin-C OS=Homo sapiens (Human) OX=9606 GN=CST3 PE=1 SV=1	5	5	1.000	5	5	5.000	5	393254.648439	402858.820312	435208.210938	427847.820312	433148.441406	454989.800782	403003.945312	326065.007813	368050.171875	335850.480469	3207.7270510000003
1298	1	sp|P01040|CYTA_HUMAN	 	 	 	 	75.5	98	11006	Cystatin-A OS=Homo sapiens (Human) OX=9606 GN=CSTA PE=1 SV=1	7	7	1.000	7	7	7.000	7	2660525.1406260002	3107043.347657	3099451.9218770005	3545417.1406260002	3646109.9218760002	3774085.523437	3434012.2500010002	3259779.324219	3433367.21875	3675834.2187510002	135730.47607499998
1299	1	sp|P01111|RASN_HUMAN	 	 	sp|P01111|RASN_HUMAN, sp|P01112|RASH_HUMAN, sp|P01116|RASK_HUMAN	 	52.9	189	21229	GTPase NRas OS=Homo sapiens (Human) OX=9606 GN=NRAS PE=1 SV=1	46	15	0.326	46	15	39.959	15	1714022.546876	1606904.957031	1764939.831055	1771495.012695	1965884.688477	1831233.904298	1537404.0273449998	1227522.8330080002	1465085.167969	1270511.269531	3846.1334229999998
1300	1	sp|P01112|RASH_HUMAN	 	 	sp|P01111|RASN_HUMAN, sp|P01112|RASH_HUMAN, sp|P01116|RASK_HUMAN	 	52.9	189	21298	GTPase HRas OS=Homo sapiens (Human) OX=9606 GN=HRAS PE=1 SV=1	24	5	0.208	24	5	11.471	5	481838.20898500003	457790.832031	516506.222657	542555.1523450001	595145.3125	562056.9648440001	500964.845704	498970.894532	548168.923828	498115.707031	17979.560547
1301	1	sp|P01116|RASK_HUMAN	 	 	sp|P01111|RASN_HUMAN, sp|P01112|RASH_HUMAN, sp|P01116|RASK_HUMAN	 	46.6	189	21656	GTPase KRas OS=Homo sapiens (Human) OX=9606 GN=KRAS PE=1 SV=1	28	2	0.071	28	2	5.571	2	1348753.953125	1489739.46875	1449810.109375	1429474.0625	1538450.859375	1751790.640625	1461400.65625	1045632.882813	1230290.453125	1051365.5390630001	500.0
1302	1	sp|P01130|LDLR_HUMAN	 	 	 	 	8.3	860	95375	Low-density lipoprotein receptor OS=Homo sapiens (Human) OX=9606 GN=LDLR PE=1 SV=1	8	8	1.000	8	8	8.000	8	402062.29492200003	426554.067385	412144.82617300004	475670.47168	436324.15429700003	461334.25683800003	421381.628906	376652.83007699996	405601.31543	429860.800782	6326.623779
1303	1	sp|P01834|IGKC_HUMAN	 	 	 	 	47.7	107	11765	Immunoglobulin kappa constant OS=Homo sapiens (Human) OX=9606 GN=IGKC PE=1 SV=2	10	10	1.000	10	10	10.000	10	315698.301757	331979.29492200003	390223.80664200004	1011099.914061	282176.57324299996	522787.544922	189674.760254	302062.54541	339244.42968899995	255589.676758	7080.896300999999
1304	1	sp|P01857|IGHG1_HUMAN	 	 	sp|P01857|IGHG1_HUMAN, sp|P01859|IGHG2_HUMAN	 	20.0	330	36105	Immunoglobulin heavy constant gamma 1 OS=Homo sapiens (Human) OX=9606 GN=IGHG1 PE=1 SV=1	21	15	0.714	21	15	20.000	15	2027354.2646470002	2804005.0332029997	2796882.09375	3901274.002929	2144830.9931650003	2518834.59424	1316220.4326169998	1798114.380372	1704899.608644	1378899.8828119999	3517.8199459999996
1305	1	sp|P01859|IGHG2_HUMAN	 	 	sp|P01857|IGHG1_HUMAN, sp|P01859|IGHG2_HUMAN	 	8.0	326	35900	Immunoglobulin heavy constant gamma 2 OS=Homo sapiens (Human) OX=9606 GN=IGHG2 PE=1 SV=2	9	3	0.333	9	3	4.000	3	301754.023438	230380.25	260734.984375	276792.65625	232031.251954	359661.660157	230892.433594	202144.238281	251839.187501	172914.716797	3733.267334
1306	1	sp|P01871|IGHM_HUMAN	 	 	 	 	12.1	453	49439	Immunoglobulin heavy constant mu OS=Homo sapiens (Human) OX=9606 GN=IGHM PE=1 SV=4	11	11	1.000	11	11	11.000	11	327997.78918400005	340388.757569	331946.88379	732973.922853	358941.34033199993	468872.97509900003	700440.453127	873037.6191420001	1419743.5214860002	1144762.937502	42341.756469
1307	1	sp|P01876|IGHA1_HUMAN	 	 	 	 	20.1	353	37654	Immunoglobulin heavy constant alpha 1 OS=Homo sapiens (Human) OX=9606 GN=IGHA1 PE=1 SV=2	5	5	1.000	5	5	5.000	5	833328.7851559999	806259.7597660001	942646.640625	985759.962891	933699.814453	1599561.0195320002	712006.572266	893560.013672	684450.248047	1087167.121094	500.0
1308	1	sp|P01889|HLAB_HUMAN	 	 	sp|P01889|HLAB_HUMAN, sp|P10321|HLAC_HUMAN, sp|P13747|HLAE_HUMAN	 	11.0	362	40460	HLA class I histocompatibility antigen, B alpha chain OS=Homo sapiens (Human) OX=9606 GN=HLA-B PE=1 SV=3	5	1	0.200	5	1	1.611	1	99488.882812	28579.962891000003	64953.460938	26988.648438	60025.078125	35282.007812	38009.898438	54716.64453099999	34927.796875	82941.742188	500.0
1309	1	sp|P01893|HLAH_HUMAN	 	 	sp|P01893|HLAH_HUMAN, sp|P04439|HLAA_HUMAN, sp|P10321|HLAC_HUMAN	 	19.3	362	40891	Putative HLA class I histocompatibility antigen, alpha chain H OS=Homo sapiens (Human) OX=9606 GN=HLA-H PE=5 SV=3	10	2	0.200	10	2	3.033	2	154364.410157	136952.5625	165741.031251	252114.023437	154711.300781	211296.507812	153133.742188	157530.097656	213537.113281	206675.027344	500.0
1310	1	sp|P01903|DRA_HUMAN (+1)	sp|P01903|DRA_HUMAN&tr|A0A0G2JMH6|A0A0G2JMH6_HUMAN	 	 	 	12.6	254	28607	HLA class II histocompatibility antigen, DR alpha chain OS=Homo sapiens (Human) OX=9606 GN=HLA-DRA PE=1 SV=1	15	15	1.000	15	15	15.000	15	3722993.6445319997	10158481.769531	2919771.617188	12979243.289062	4090765.898439	5171702.845704	8144512.574219	1669311.025392	3923355.785156	4803995.693359001	69916.28125
1311	1	sp|P01909|DQA1_HUMAN	 	 	 	 	15.4	254	27805	HLA class II histocompatibility antigen, DQ alpha 1 chain OS=Homo sapiens (Human) OX=9606 GN=HLA-DQA1 PE=1 SV=1	8	8	1.000	8	8	8.000	8	176305.757812	270857.865602	231693.514039	1578769.5800780002	320380.506348	319933.621581	465276.733216	246845.263917	305143.865235	317538.625001	3126.1201170000004
